hek293	hela	k562
ENSG00000042286	1.74895900036272	2.29402509409532	2.07991573574809
ENSG00000110711	1.89268443370795	2.70757017609794	2.1558978497998
ENSG00000106992	2.28938763470465	2.98227123303957	NA
ENSG00000147853	2.18521456752461	2.80140371001736	NA
ENSG00000121057	1.95966758202531	2.43806745045349	NA
ENSG00000108599	1.46343878173407	2.17609125905568	NA
ENSG00000023516	2.01518300765604	2.38021124171161	1.91383126923971
ENSG00000131016	2.14033979098937	2.81796180453199	NA
ENSG00000170776	1.54828872393034	2.29402509409532	NA
ENSG00000179841	1.3531911901551	NA	NA
ENSG00000118507	1.80493793675446	2.30059548388996	NA
ENSG00000105127	1.57508080293298	2.30835094858673	NA
ENSG00000011243	1.93859759000752	2.4437322414016	NA
ENSG00000127914	2.00534358782165	2.2464985807958	NA
ENSG00000106948	1.63002746343268	2.30835094858673	NA
ENSG00000117448	2.01925100226388	3.15836249209525	NA
ENSG00000085662	2.52285120115897	3.15836249209525	NA
ENSG00000142208	2.31238317240761	2.77815125038364	NA
ENSG00000204673	2.08543418677682	2.78887511577542	1.99227107681604
ENSG00000105221	2.43897447367213	2.66124460895933	NA
ENSG00000148218	1.78135116391605	2.43136376415899	NA
ENSG00000023330	1.57200333314832	2.58092497567562	NA
ENSG00000170017	2.35245351166604	2.77815125038364	NA
ENSG00000161618	2.37591932755393	2.82386530932451	NA
ENSG00000059573	2.19568121721413	2.89773702534543	2.22719912424807
ENSG00000128918	2.46038648032371	NA	NA
ENSG00000137124	1.54340125332273	2.42942926438179	1.9381302719085
ENSG00000136010	2.37327151374533	2.35449260058944	NA
ENSG00000111275	2.26538828150949	3.15836249209525	NA
ENSG00000072210	2.23887551506968	2.79726754083072	NA
ENSG00000112294	2.51415277396065	3.06009318382447	2.21108430416189
ENSG00000119711	2.22461568024703	3.15836249209525	2.22049143041377
ENSG00000164904	2.76597638636541	3.15836249209525	NA
ENSG00000149925	2.32271701641219	3.15836249209525	NA
ENSG00000109107	2.26235417499928	3.15836249209525	NA
ENSG00000033011	1.93988969881278	2.76357772446665	NA
ENSG00000182858	2.08760813865419	2.68124123737559	1.66395875348228
ENSG00000101901	2.13352824794591	2.72623351151889	NA
ENSG00000119523	1.24381622490414	2.20466251174822	NA
ENSG00000120697	2.07232139985672	2.36361197989214	1.74959763993725
ENSG00000086848	2.17801486600903	3.12273999296236	NA
ENSG00000100601	1.55365729790416	2.2405492482826	NA
ENSG00000189046	1.54295062219776	2.2464985807958	1.96950358250916
ENSG00000166199	1.97591426354099	2.65494622658434	NA
ENSG00000160993	1.25275748289283	2.16016829295851	NA
ENSG00000091542	1.65546897224179	2.58297192910481	2.32307604229624
ENSG00000239382	2.2134657911251	2.34635297445064	NA
ENSG00000125652	2.0358816016539	3.0947505524775	2.30544503573179
ENSG00000137760	1.77744561478054	2.27369558793009	NA
ENSG00000073331	2.15853404148016	2.29402509409532	NA
ENSG00000110497	1.40072663636443	2.28735377271475	NA
ENSG00000123505	1.41704662913706	2.20951501454263	NA
ENSG00000162066	1.97871378848825	2.23451728351269	NA
ENSG00000159461	1.94283427079269	2.96199028744006	NA
ENSG00000104899	1.81508362628002	2.31597034545692	NA
ENSG00000139211	1.41953980043912	2.27369558793009	1.68163654630301
ENSG00000101935	2.02043089584691	2.54157924394658	NA
ENSG00000151743	2.37586074473415	NA	NA
ENSG00000166025	1.96317775477516	2.32345836684947	NA
ENSG00000078053	2.26809602999302	NA	NA
