EnsemblGeneID,GeneName,UniProtID,UniProtID_T,K,k,T50,ProteinHalfLife
ENSG00000144118,RALB,P11234,P11234;P11234-3;P11234-2,0.028182264,0.03592,24.5951561,1.285489133
ENSG00000122694,GLIPR2,Q9H4G4,Q9H4G4,0.0156,#NUM!,44.43251157,NA
ENSG00000002834,LASP1,Q14847,Q14847;Q14847-2;Q14847-3,0.031943387,0.00636,21.69923845,2.037368345
ENSG00000117153,KLHL12,Q53G59,Q53G59;Q53G59-2,0.133,0.10747,5.211632937,0.809538212
ENSG00000009335,UBE3C,Q15386,Q15386;Q15386-2;Q15386-3,0.032353361,0.006947921,21.42427088,1.998970617
ENSG00000140598,EFTUD1,Q7Z2Z2,Q7Z2Z2;Q7Z2Z2-2,0.030431891,0.009392188,22.77699985,1.868058673
ENSG00000113595,TRIM23,P36406,P36406-3;P36406-2;P36406,0.0309,0.00537,22.43194759,2.110851175
ENSG00000104517,UBR5,O95071,O95071-2;O95071,0.055392689,0.030407986,12.5133333,1.357837807
ENSG00000115053,NCL,P19338,P19338,0.036476842,0.01048519,19.0023901,1.820249175
ENSG00000121211,MND1,Q9BWT6,Q9BWT6,0.0607,0.03822,11.41922867,1.258534778
ENSG00000088340,FER1L4,A9Z1Z3,A9Z1Z3-3;A9Z1Z3,0.044098073,0.018123002,15.71831014,1.582595324
ENSG00000185608,MRPL40,Q9NQ50,Q9NQ50,0.0375,0.014512932,18.48392481,1.679070296
ENSG00000115540,MOB4,Q9Y3A3,Q9Y3A3-3;Q9Y3A3;Q9Y3A3-2,0.047734579,0.025078262,14.52086098,1.441528034
ENSG00000204822,MRPL53,Q96EL3,Q96EL3,0.044299549,0.020450604,15.64682268,1.530119324
ENSG00000179933,C14orf119,Q9NWQ9,Q9NWQ9,0.217979357,0.195368921,3.179875336,0.549969984
ENSG00000122406,RPL5,P46777,P46777,0.02454119,0.02276,28.24423691,1.483653203
ENSG00000108344,PSMD3,O43242,O43242;O43242-2,0.031069921,0.005868833,22.30926745,2.072273714
ENSG00000078018,MAP2,P11137,P11137-3;P11137,0.028749609,0.005389545,24.1097953,2.109273324
ENSG00000137714,FDX1,P10109,P10109,0.0359,0.01037,19.30772091,1.825046705
ENSG00000167670,CHAF1A,Q13111,Q13111;Q13111-3;Q13111-2,0.068609766,0.043946273,10.10274805,1.197903413
ENSG00000122692,SMU1,Q2TAY7,Q2TAY7;Q2TAY7-2,0.052799621,0.028976943,13.12788169,1.378772901
ENSG00000095485,CWF19L1,Q69YN2,Q69YN2;Q69YN2-3;Q69YN2-2,0.0323,0.009237391,21.45966503,1.875276115
ENSG00000186566,GPATCH8,Q9UKJ3,Q9UKJ3,0.0309,0.00842,22.43194759,1.91551337
ENSG00000156735,BAG4,O95429,O95429-2;O95429,0.0497,0.02417,13.94662335,1.457548811
ENSG00000089220,PEBP1,P30086,P30086,0.019935897,0.003909757,34.76879777,2.248675692
ENSG00000152620,NADK2,Q4G0N4,Q4G0N4;Q4G0N4-3,0.021436884,0.01927,32.33432514,1.555943746
ENSG00000105321,CCDC9,Q9Y3X0,Q9Y3X0,0.042199882,0.01958865,16.42533476,1.548820959
ENSG00000106665,CLIP2,Q9UDT6,Q9UDT6-2;Q9UDT6,0.0325,0.00647,21.32760556,2.02992118
ENSG00000108528,SLC25A11,Q02978,Q02978;Q02978-2,0.044899889,0.018357483,15.43761469,1.577012315
ENSG00000102100,SLC35A2,P78381,P78381-5;P78381-2;P78381;P78381-4,0.049558047,0.02199549,13.98657182,1.498491811
ENSG00000153201,RANBP2,P49792,P49792,0.039949218,0.014314266,17.35070721,1.685056389
ENSG00000058272,PPP1R12A,O14974,O14974;O14974-4;O14974-3;O14974-5,0.033747,0.007728363,20.53952006,1.952737929
ENSG00000176619,LMNB2,Q03252,Q03252,0.02932337,0.00562,23.63804678,2.091089146
ENSG00000143033,MTF2,Q9Y483,Q9Y483-3;Q9Y483;Q9Y483-2;Q9Y483-4,0.064095554,0.037904857,10.8142787,1.262130596
ENSG00000111110,PPM1H,Q9ULR3,Q9ULR3,0.0346,0.01046,20.03315551,1.821293777
ENSG00000161533,ACOX1,Q15067,Q15067-2;Q15067;Q15067-3,0.039749717,0.01525553,17.43778908,1.657398157
ENSG00000046604,DSG2,Q14126,Q14126,0.03209003,0.006837631,21.60007919,2.00591979
ENSG00000167193,CRK,P46108,P46108,0.0296,0.00676,23.41713448,2.010878765
ENSG00000075624,ACTB,P60709,P60709,1.169358799,1.146650599,0.59275834,-0.218605641
ENSG00000188677,PARVB,Q9HBI1,Q9HBI1;Q9HBI1-3;Q9HBI1-2,0.061296982,0.035387252,11.30801482,1.291978623
ENSG00000072135,PTPN18,Q99952,Q99952-2;Q99952,0.0889,0.06266,7.796931165,1.043835071
ENSG00000161011,SQSTM1,Q13501,Q13501,0.056749978,0.031062022,12.21405198,1.348595741
ENSG00000136273,HUS1,O60921,O60921;O60921-2,0.0394,0.01666,17.59256803,1.619150464
