EnsemblGeneID,GeneName.x,BCells_ProHL,NKCells_ProHL,Hepatocytes_ProHL,Monocytes_ProHL
ENSG00000177119,ANO6,2.222047611,2.338747254,1.836267135,1.993001719
ENSG00000177156,TALDO1,2.437504816,2.858140618,2.338848775,1.899445666
ENSG00000177169,ULK1,NA,NA,NA,NA
ENSG00000177182,CLVS1,NA,NA,NA,NA
ENSG00000177189,RPS6KA3,2.059165669,2.332377856,1.724243091,2.045743376
ENSG00000177225,PDDC1,2.181011346,2.210334575,1.698887481,1.994101492
ENSG00000177239,MAN1B1,1.997694301,NA,1.683641309,1.573532991
ENSG00000177272,KCNA3,NA,NA,NA,NA
ENSG00000177301,KCNA2,NA,NA,NA,NA
ENSG00000177352,CCDC71,NA,NA,NA,NA
ENSG00000177409,SAMD9L,2.397717593,2.207522616,NA,2.11295337
ENSG00000177425,PAWR,1.766907096,NA,1.713028282,NA
ENSG00000177432,NAP1L5,NA,NA,NA,NA
ENSG00000177455,CD19,1.906889679,NA,NA,NA
ENSG00000177463,NR2C2,1.853211335,1.862405709,NA,NA
ENSG00000177465,ACOT4,NA,NA,2.081361712,NA
ENSG00000177469,PTRF,NA,NA,1.788875116,NA
