Gene_ID	brain_1	brain_2	brain_3	liver_1	liver_2	liver_3	testis_1	testis_2	testis_3
ENSG00000156381	0.5814	2.2897	1.2772	0.1834	0.077	0.0842	4.2315	2.751	1.367
ENSG00000156384	12.3461	22.6214	11.6574	1.8373	1.5598	1.4696	58.0603	67.5682	33.5746
ENSG00000156395	19.6509	19.4764	20.5601	NA	NA	NA	1.7514	1.287	0.8616
ENSG00000156398	1.39	0.5233	1.2575	7.5382	17.1874	30.5314	1.9575	1.2273	4.3623
ENSG00000156411	631.0585	542.4919	739.281	91.1854	141.1403	139.1186	226.9691	340.1118	185.3994
ENSG00000156413	NA	NA	NA	2.9958	0.425	0.3118	NA	NA	NA
ENSG00000156414	1.1064	2.3565	3.7775	NA	NA	NA	121.7973	119.8111	34.5119
ENSG00000156427	0.8888	0.0625	0.4734	NA	NA	NA	0.2615	0	0.4835
ENSG00000156453	86.0243	69.5156	79.5835	16.372	17.7776	8.3344	1.9057	1.5953	7.9291
ENSG00000156463	0.7778	1.692	1.7872	0.2796	0.8611	1.4032	8.1727	12.6955	1.9507
ENSG00000156466	0.2606	0.3992	0.1889	0.0494	0.1107	0.3404	1.0224	0.2463	0.4051
ENSG00000156467	564.9104	374.5687	473.285	142.6957	228.8815	168.798	241.6864	421.0314	233.6698
ENSG00000156469	24.0722	13.7485	21.0529	4.3251	7.8906	6.727	22.4564	12.5574	19.3647
ENSG00000156471	64.7433	64.6535	67.5114	21.2778	18.8661	10.3274	27.0201	30.2799	39.5931
ENSG00000156475	57.8429	58.2031	81.7386	NA	NA	NA	4.1934	6.7557	0.2769
ENSG00000156482	206.1569	280.44	239.8971	335.5864	307.9094	207.1969	308.868	519.6661	423.5893
ENSG00000156500	1.2716	2.6967	1.4587	0	0.2016	0	8.2132	8.0691	7.3958
ENSG00000156502	15.0674	9.45	15.7484	4.4277	8.247	9.4086	50.9228	46.1488	29.9223
ENSG00000156504	34.5451	37.0906	39.0115	0.8191	1.009	1.9558	139.0035	161.4487	130.1886
ENSG00000156508	98.5096	124.0667	123.6634	232.8357	158.237	155.7623	165.9724	255.8477	266.0598
ENSG00000156509	NA	NA	NA	NA	NA	NA	13.834	10.276	2.7273
ENSG00000156510	0.3791	0.6843	0.7067	5.5746	0.6581	1.4659	1.6238	1.9212	1.2835
ENSG00000156515	257.1229	212.4654	254.7109	3.8435	2.1166	3.7705	26.9205	36.0114	40.1569
ENSG00000156521	1.8166	2.4995	1.997	2.4685	3.2109	3.1408	16.4694	12.2469	13.192
ENSG00000156531	67.9318	67.8089	83.6398	8.581	7.9415	9.6684	78.1369	111.7067	59.017
ENSG00000156535	4.7443	12.4311	4.9133	1.8126	0.6178	0.4343	4.5183	6.7968	27.8751
ENSG00000156564	9.0429	6.682	9.6593	NA	NA	NA	1.3339	0.0865	0.5503
ENSG00000156574	0.0379	0.0747	0.0354	NA	NA	NA	0.996	1.6328	1.7394
ENSG00000156587	29.4968	49.0531	27.4929	74.319	90.9703	57.4287	14.0013	29.38	86.629
ENSG00000156599	12.9099	10.4597	11.2249	4.3984	4.1618	3.9179	23.4124	20.4084	14.9269
ENSG00000156603	21.3435	30.568	27.8308	3.7491	7.9974	5.4653	31.1669	30.2397	31.3867
ENSG00000156639	103.1493	120.1546	96.4655	32.7406	32.4053	26.398	96.7036	159.9539	72.1874
ENSG00000156642	450.3589	376.7651	434.4457	30.293	43.8202	31.8424	161.8363	202.9486	231.2702
ENSG00000156650	8.9219	7.6757	13.0054	0.5019	0.6512	1.1636	29.6378	16.1414	14.958
ENSG00000156671	67.4533	60.1656	60.415	2.7688	3.6306	5.504	57.5996	53.034	44.2486
ENSG00000156675	1.9706	2.2403	1.7988	2.1234	2.5624	2.1743	20.9217	22.6649	24.2474
ENSG00000156687	18.3791	14.5089	19.8474	NA	NA	NA	0.8408	0.6726	0.2791
